"idRecibo","Recibo","PrimaNeta","PrimaTotal","FechaRecibo","Situacion","Obs","Polizas_id"
"1","0","356.44","432.76","2024-08-17","Pagado",NULL,"-1991618055"
"2","0","356.44","432.76","2024-05-17","Pagado",NULL,"-1991618055"
"3","0","356.44","432.76","2024-11-17","Pagado",NULL,"-1991618055"
"4","0","356.44","432.76","2024-02-17","Pagado",NULL,"-1991618055"
"5","0","356.44","432.76","2025-02-17","Pagado",NULL,"-1991618055"
"6","0","396.48","451.94","2024-09-18","Pagado",NULL,"-1947274428"
"7","0","396.48","451.94","2024-06-18","Pagado",NULL,"-1947274428"
"8","0","396.48","451.94","2025-03-18","Pagado",NULL,"-1947274428"
"9","0","396.48","451.94","2024-03-18","Pagado",NULL,"-1947274428"
"10","0","396.48","451.94","2024-12-18","Pagado",NULL,"-1947274428"
"11","0","380.46","1060","2024-02-15","Pagado",NULL,"-1812616111"
"12","0","380.46","1060","2025-02-15","Pagado",NULL,"-1812616111"
"13","0","513.09","1060","2024-08-15","Pagado",NULL,"-1812616111"
"14","0","177.42","200","2024-07-16","Pagado",NULL,"-1694706053"
"15","0","258","200","2025-01-16","Pagado",NULL,"-1694706053"
"16","0","197.02","200","2024-04-16","Pagado",NULL,"-1694706053"
"17","0","197.02","200","2024-01-16","Pagado",NULL,"-1694706053"
"18","0","258.83","200","2024-10-16","Pagado",NULL,"-1694706053"
"19","0","258.39","269.06","2024-10-01","Pagado",NULL,"-1687401558"
"20","0","274.1","269.06","2024-04-01","Pagado",NULL,"-1687401558"
"21","0","223.22","269.06","2025-04-01","Pagado",NULL,"-1687401558"
"22","0","-312.81","300","2024-04-14","Pagado",NULL,"-1668301726"
"23","0","312.81","300","2024-04-14","Pagado",NULL,"-1668301726"
"24","0","181.91","300","2024-01-14","Pagado",NULL,"-1668301726"
"25","0","-312.81","300","2024-07-14","Pagado",NULL,"-1668301726"
"26","0","-181.91","300","2024-01-14","Pagado",NULL,"-1668301726"
"27","0","243.75","254","2024-04-30","Pagado",NULL,"-1515486808"
"28","0","243.75","254","2025-01-30","Pagado",NULL,"-1515486808"
"29","0","243.75","254","2024-01-30","Pagado",NULL,"-1515486808"
"30","0","243.75","254","2024-07-30","Pagado",NULL,"-1515486808"
"31","0","243.75","254","2024-10-30","Pagado",NULL,"-1515486808"
